Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [midas.c:6988:bm_send_event,ERROR] invalid buffer handle 1
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:3461:db_get_value,ERROR] invalid database handle
Wed May 29 14:08:38 2024 [Grif_Replay,ERROR] [odb.c:2332:db_find_key,ERROR] invalid database handle
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [system.c:4411:recv_tcp,ERROR] header: recv returned 0, n_received = 0, unexpected connection closure
Wed May 29 14:12:00 2024 [Grif_Replay,INFO] Server connection broken to 'grifstore1'
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:6387:bm_remove_event_request,ERROR] invalid buffer handle 2
Wed May 29 14:12:00 2024 [Grif_Replay,ERROR] [midas.c:5074:bm_close_buffer,ERROR] invalid buffer handle 2
Wed May 29 14:12:00 2024 [Grif_Replay,INFO] Program Grif_Replay on host grifstore0 stopped
